Marca,Modelo,Motor,Potencia (cv),Precio (€),Km,Ciudad,Año,Image
Ford,Focus 1.5Ecoblue Trend+,Diesel,120,19.900,0,Madrid,2021,https://imgs.coches.com/coches/fotos/usados/2021/08/20/6/medium/fbebf0fe63f5fadb9279132177b8ac00.jpg
Ford,Puma 1.0 EcoBoost MHEV,Gasolina,125,21.400,1,Cantabria,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/21/8/medium/0311563203498778-433189_6.jpg
Ford,Focus 1.0 Ecoboost MHEV,Gasolina,125,21.500,0,Madrid,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/04/d/medium/06f7e8c99448ae472d4cec07cc134475.jpg
Ford,Focus 1.0 Ecoboost MHEV,Gasolina,125,21.700,0,Madrid,2021,https://imgs.coches.com/coches/fotos/usados/2021/12/21/e/medium/b6a9bca3018dbea6aebaeded1c7118f0.jpg
Ford,Focus 1.0 Ecoboost MHEV,Gasolina,125,21.400,0,Madrid,2021,https://imgs.coches.com/coches/fotos/usados/2021/12/21/8/medium/608c47b73d24c827d1812c4b4493e91a.jpg
Ford,EcoSport 1.0 EcoBoost ST Line,Gasolina,125,16.240,5.200,Madrid,2020,https://imgs.coches.com/coches/fotos/usados/2021/12/02/f/medium/0303571179039ab7f8-1fe1-479a-be39-88409ca46667_original.jpg
Ford,Focus 1.0 Ecoboost ST Line,Gasolina,124,18.900,7.508,Vizcaya,2020,https://imgs.coches.com/coches/fotos/usados/2021/11/29/c/medium/03031404221627621535454.jpg
Ford,Focus 1.0 Ecoboost MHEV,Gasolina,125,18.500,5.031,A Coruña,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/11/d/medium/030993223311711-1.jpg
Ford,Puma 1.0 EcoBoost MHEV,Gasolina,125,20.335,3.600,Malaga,2020,https://imgs.coches.com/coches/fotos/usados/2022/01/04/9/medium/9361aceee817dd16ad26a348ec46a897.jpeg
Ford,Ranger 2.2TDCI DCb. XLT,Diesel,150,14.490,200.000,Madrid,2014,https://imgs.coches.com/coches/fotos/usados/2021/11/17/7/medium/ba6eeedf3f4ea44e2712e188aa9d4a6c.jpg
Ford,Mondeo Sedán 2.0 HEV,Híbrido,187,18.990,39.000,Sevilla,2019,https://imgs.coches.com/coches/fotos/usados/2022/01/13/4/medium/7be49aafa3a56ed392cb50c751990c8a.jpg
Ford,C-Max 1.0 Ecoboost,Gasolina,125,11.500,1.240.000,Cordoba,2014,https://imgs.coches.com/coches/fotos/usados/2021/12/20/4/medium/bba76579abdde94f62e3a8e584097b89.JPG
Ford,C-Max Grand 1.6TDCi Trend,Diesel,115,7.300,187.000,Granada,2011,https://imgs.coches.com/coches/fotos/usados/2022/01/22/c/medium/f5749ab5014f5f460574c6c4ea69944c.JPG
Ford,Ranger 2.0 Ecoblue DCb.,Diesel,213,48.990,0,Valladolid,2022,https://imgs.coches.com/coches/fotos/usados/2022/01/18/0/medium/031087821316052034_01.jpg
Ford,Transit Van 1.0 Ecob. Trend,Gasolina,100,12.700,5,Valladolid,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/18/2/medium/031087822516800499_01.jpg
Ford,S-Max 2.2TDCi Titanium,Diesel,175,10.450,168.000,Barcelona,2010,https://imgs.coches.com/coches/fotos/usados/2022/01/08/9/medium/5698d1a2be378b093817ce05f124ff76.JPG
Ford,Transit FT 270 L1 Van Trend,Diesel,130,15.600,133.617,Sevilla,2017,https://imgs.coches.com/coches/fotos/usados/2022/01/07/3/medium/9c939b28c951f35a43be109c293c439d.jpg
Ford,Kuga 2.0TDCi Auto S&S,Diesel,150,19.000,70.000,Sevilla,2018,https://imgs.coches.com/coches/fotos/usados/2022/01/06/7/medium/a95004bdc122f563d142b19cd2b9290a.JPG
Ford,Kuga 1.5 EcoBoost,Gasolina,120,17.700,36.000,Sevilla,2019,https://imgs.coches.com/coches/fotos/usados/2022/01/21/2/medium/0311560151138873-1.jpg
Ford,EcoSport 1.0 EcoBoost Trend,Gasolina,125,15.995,44.999,Las Palmas,2018,https://imgs.coches.com/coches/fotos/usados/2021/12/27/8/medium/030737501524091ed1fbb31edc58ebce3b09c2252f_original.jpg
Ford,Kuga 2.5 Duratec PHEV,Híbrido,225,32.490,20,A Coruña,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/11/e/medium/030993221910903-1.jpg
Ford,Focus 1.0 Ecoboost Trend+,Gasolina,124,15.600,45.167,A Coruña,2018,https://imgs.coches.com/coches/fotos/usados/2022/01/11/3/medium/03099322358337-01.jpg
Ford,Kuga 2.5 Duratec PHEV,Híbrido,225,33.990,9.260,A Coruña,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/11/5/medium/030993223111647-1.jpg
Ford,Focus 1.5 Ecoboost ST Line,Gasolina,182,24.290,3.449,A Coruña,2019,https://imgs.coches.com/coches/fotos/usados/2022/01/11/6/medium/030993222710139-01.jpg
Ford,Transit Van Ambiente Tr. Tra.,Diesel,130,18.925,119.000,Girona,2018,https://imgs.coches.com/coches/fotos/usados/2021/12/07/1/medium/f4c229d5eaa70bfd14ca73e4a8db6a2c.JPG
Ford,Kuga 2.0TDCi Auto S&S,Diesel,150,17.990,85.000,Madrid,2017,https://imgs.coches.com/coches/fotos/usados/2021/12/02/1/medium/2764f53363dc594eb462f005dd1b0460.jpg
Ford,Focus 1.0 Ecoboost Trend,Gasolina,124,15.950,54.819,Valladolid,2018,https://imgs.coches.com/coches/fotos/usados/2021/11/30/8/medium/03032289631638188892370.jpg
Ford,Fiesta 1.0 EcoBoost S/S ST,Gasolina,140,14.990,29.879,Valencia,2019,https://imgs.coches.com/coches/fotos/usados/2021/11/25/a/medium/0302484351ca16ba2a-65a8-4cfa-8a1d-5b1e80d26dba_original.jpg
Ford,Fiesta 1.0 EcoBoost S/S ST,Gasolina,140,14.990,36.507,Valencia,2019,https://imgs.coches.com/coches/fotos/usados/2021/11/25/5/medium/03024843392c6d1f57-c058-4ca1-8cba-124083bb66f9_original.jpg
Honda,e Advance Llantas 17,Eléctrico,153,28.000,9.800,Madrid,2020,https://imgs.coches.com/coches/fotos/usados/2021/02/03/6/medium/0253912956b572c45a-a454-4fd6-a3e4-0f66a23eccd7_01.jpg
Honda,CR-V 2.0 i-MMD Lifestyle,Híbrido,184,41.200,10.000,Sevilla,2021,https://imgs.coches.com/coches/fotos/usados/2021/09/30/5/medium/0293705947017c2d29-8fce-1ec7-ba9b-b4c5beba928c.jpg
Honda,Jazz 1.5 i-MMD Elegance,Híbrido,109,20.400,5.100,Madrid,2020,https://imgs.coches.com/coches/fotos/usados/2021/02/02/4/medium/0253718018c54d126f-26be-4f10-83fe-1a1bba8a2fd6_01.jpg
Honda,Jazz 1.5 i-MMD Crosstar,Híbrido,109,21.900,8.988,Sevilla,2020,https://imgs.coches.com/coches/fotos/usados/2022/01/20/9/medium/0311283549017e738f-645a-2359-ddc3-b18fabf088bf.jpg
Honda,Civic 1.0 VTEC Turbo,Gasolina,126,24.900,130,Girona,2022,https://imgs.coches.com/coches/fotos/usados/2022/01/13/e/medium/b7689b20627a649d0c63b21c826e1780.jpg
Honda,e Advance Llantas 17,Eléctrico,153,24.900,10,Madrid,2020,https://imgs.coches.com/coches/fotos/usados/2021/09/27/1/medium/0293239577m_img_155_759_17307_1631721453.jpg
Honda,e 136,Eléctrico,136,22.200,0,Barcelona,2022,https://imgs.coches.com/coches/fotos/usados/2021/11/17/f/medium/0301316385HondaeBlanco5523LLZ1caratulamoves.jpg
Honda,e 136,Eléctrico,136,22.200,0,Barcelona,2022,https://imgs.coches.com/coches/fotos/usados/2021/11/17/5/medium/0301240397HondaeBlanco5523LLZ1caratulamoves.jpg
Honda,e Advance Llantas 17,Eléctrico,153,25.200,0,Barcelona,2022,https://imgs.coches.com/coches/fotos/usados/2021/11/17/8/medium/0301316389HondaeAdvanceblanco1CONPIE.jpg
Honda,e Advance Llantas 17,Eléctrico,153,25.200,0,Barcelona,2022,https://imgs.coches.com/coches/fotos/usados/2021/11/17/7/medium/0301240405HondaeAdvanceblanco1CONPIE.jpg
Honda,HR-V 1.5 i-MMD Advance,Híbrido,131,31.000,0,Valencia,2022,https://imgs.coches.com/coches/fotos/usados/2021/10/29/0/medium/0298248627nh11.jpg
Honda,HR-V 1.5 i-MMD Advance,Híbrido,131,31.000,0,Valencia,2022,https://imgs.coches.com/coches/fotos/usados/2021/10/20/1/medium/0296804549nh11.jpg
Honda,e Advance Llantas 17,Eléctrico,153,26.990,5.790,Murcia,2020,https://imgs.coches.com/coches/fotos/usados/2021/02/01/6/medium/28c8f6c24e95385ba9eefa37ef9b38ba.jpg
Honda,e Advance Llantas 17,Eléctrico,153,27.350,1,Las Palmas,2022,https://imgs.coches.com/coches/fotos/usados/2022/01/14/b/medium/6e77404c864396c5bb46ad25e9e442cb.jpg
Honda,CR-V 2.0 i-MMD Elegance,Híbrido,184,35.900,15,Girona,2022,https://imgs.coches.com/coches/fotos/usados/2022/01/13/5/medium/2f62704b1349c94be7c8763c10904430.jpg
Honda,CR-V 2.0 i-MMD Elegance,Híbrido,184,35.100,8.200,Barcelona,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/21/f/medium/0311543159720370-695316_283629_banner_281696x128029_.JPG
Honda,e Advance Llantas 16,Eléctrico,153,28.083,1,Las Palmas,2021,https://imgs.coches.com/coches/fotos/usados/2021/12/10/f/medium/ffb3b7b9d8862119190c2f5038adf99e.jpg
Honda,Civic 1.0 VTEC Turbo,Gasolina,126,25.590,7.000,Barcelona,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/21/9/medium/0311543357720372-720372_1_281696x128029_.JPG
Honda,Civic 1.0 VTEC Turbo,Gasolina,126,25.590,7.002,Barcelona,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/21/6/medium/0311543245720371-730985_1_281696x128029_.JPG
Honda,Jazz 1.5 i-MMD Elegance,Híbrido,109,21.990,6.000,Barcelona,2020,https://imgs.coches.com/coches/fotos/usados/2022/01/21/3/medium/0311548687716194-716194_1_281696x128029_.JPG
Honda,e Advance Llantas 17,Eléctrico,153,28.000,9.800,Madrid,2020,https://imgs.coches.com/coches/fotos/usados/2021/02/03/6/medium/0253912956b572c45a-a454-4fd6-a3e4-0f66a23eccd7_01.jpg
Honda,Civic 2.2 i-DTEC Sport,Diesel,150,13.300,106.401,Madrid,2013,https://imgs.coches.com/coches/fotos/usados/2022/01/18/e/medium/031097075715593545_01.jpg
Honda,CR-V 1.6i-DTEC Elegance,Diesel,120,17.200,95.694,Madrid,2017,https://imgs.coches.com/coches/fotos/usados/2022/01/27/b/medium/0312374882m_img_155_135_4769_1598874838.jpg
Honda,CR-V 2.0 i-MMD Lifestyle,Híbrido,184,41.200,10.000,Sevilla,2021,https://imgs.coches.com/coches/fotos/usados/2021/09/30/5/medium/0293705947017c2d29-8fce-1ec7-ba9b-b4c5beba928c.jpg
Honda,Jazz 1.5 i-MMD Elegance,Híbrido,109,20.400,5.100,Madrid,2020,https://imgs.coches.com/coches/fotos/usados/2021/02/02/4/medium/0253718018c54d126f-26be-4f10-83fe-1a1bba8a2fd6_01.jpg
Honda,Jazz 1.5 i-MMD Crosstar,Híbrido,109,21.900,8.988,Sevilla,2020,https://imgs.coches.com/coches/fotos/usados/2022/01/20/9/medium/0311283549017e738f-645a-2359-ddc3-b18fabf088bf.jpg
Honda,e Advance Llantas 17,Eléctrico,153,30.500,10.500,Sevilla,2020,https://imgs.coches.com/coches/fotos/usados/2021/10/01/1/medium/0293828059017c37d8-f7a9-498b-fa18-3c348fd938d6.jpg
Honda,Jazz 1.5 i-MMD Crosstar,Híbrido,109,22.900,15.000,Sevilla,2020,https://imgs.coches.com/coches/fotos/usados/2021/12/21/8/medium/030633690301762960-0eb4-39df-06db-81400ba101e4.jpg
Honda,CR-V 2.2i-CDTi ES,Diesel,140,5.900,274.000,Almeria,2006,https://imgs.coches.com/coches/fotos/usados/2022/01/08/7/medium/5d781f2c4bb3be376de4634696d0b1b1.jpg
Honda,CR-V 1.6i-DTEC Elegance,Diesel,120,15.500,196.000,Albacete,2015,https://imgs.coches.com/coches/fotos/usados/2021/12/18/0/medium/618c4c469aedd43d0ea6b10d26fb8082.jfif
Honda,HR-V 1.5 i-VTEC Elegance,Gasolina,130,18.500,46.000,Girona,2018,https://imgs.coches.com/coches/fotos/usados/2022/01/20/4/medium/cb0fdcd47ebe0ed88127e9814fff25d6.jpg
Honda,HR-V 1.5 i-VTEC Elegance,Gasolina,130,16.500,59.000,Girona,2017,https://imgs.coches.com/coches/fotos/usados/2021/10/20/2/medium/8a3807dcb56671d83a8227856f5d52f2.jpg
Honda,Civic 1.0 VTEC Turbo,Gasolina,126,24.900,130,Girona,2022,https://imgs.coches.com/coches/fotos/usados/2022/01/13/e/medium/b7689b20627a649d0c63b21c826e1780.jpg
Honda,Civic 2.2i-CTDI Sport,Diesel,140,4.499,199.999,Malaga,2007,https://imgs.coches.com/coches/fotos/usados/2022/01/17/1/medium/6b23b7b3fd421c72c020ac6b85074f61.jpeg
Honda,FR-V 2.0i VTEC Executive,Gasolina,150,6.350,126.823,Madrid,2005,https://imgs.coches.com/coches/fotos/usados/2022/01/18/2/medium/031096893114797828_01.jpg
Honda,e Advance Llantas 17,Eléctrico,153,24.900,10,Madrid,2020,https://imgs.coches.com/coches/fotos/usados/2021/09/27/1/medium/0293239577m_img_155_759_17307_1631721453.jpg
Honda,FR-V 2.2i-CTDI Executive,Diesel,140,5.800,196.515,Alicante,2008,https://imgs.coches.com/coches/fotos/usados/2022/01/21/b/medium/6774d2790a4e11ebb84861d3c104314e.jpg
Honda,e 136,Eléctrico,136,22.200,0,Barcelona,2022,https://imgs.coches.com/coches/fotos/usados/2021/11/17/f/medium/0301316385HondaeBlanco5523LLZ1caratulamoves.jpg
Honda,e 136,Eléctrico,136,22.200,0,Barcelona,2022,https://imgs.coches.com/coches/fotos/usados/2021/11/17/5/medium/0301240397HondaeBlanco5523LLZ1caratulamoves.jpg
Honda,e Advance Llantas 17,Eléctrico,153,25.200,0,Barcelona,2022,https://imgs.coches.com/coches/fotos/usados/2021/11/17/8/medium/0301316389HondaeAdvanceblanco1CONPIE.jpg
Hyundai,i10 1.0 MPI Tecno,Gasolina,66,11.500,6.000,Barcelona,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/20/3/medium/7f36fe94be8af51698070a787da0c0da.jpg
Hyundai,Tucson 1.6 CRDI 48V Tecno,Diesel,136,33.800,0,Palencia,2022,https://imgs.coches.com/coches/fotos/usados/2022/01/18/b/medium/031087951316840752_01.jpg
Hyundai,i30 2.0 TGDI N,Gasolina,280,33.600,680,Palencia,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/18/e/medium/031087938316840728_01.jpg
Hyundai,i30 2.0 TGDI N,Gasolina,280,35.900,0,Palencia,2022,https://imgs.coches.com/coches/fotos/usados/2022/01/18/0/medium/031087933716797169_01.jpg
Hyundai,Bayon 1.0 TGDI 48V Maxx,Gasolina,100,16.500,7.800,Palencia,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/18/7/medium/031087931116795005_01.jpg
Hyundai,i30 1.0 TGDI Klass 120,Gasolina,120,16.500,110,Alicante,2020,https://imgs.coches.com/coches/fotos/usados/2021/11/10/9/medium/03002117699cf4f39d-7f96-422b-8daa-72d2633554f5_original.jpg
Hyundai,Tucson 1.6CRDI 48V Tecno,Diesel,116,25.500,6.300,Alicante,2021,https://imgs.coches.com/coches/fotos/usados/2021/10/26/6/medium/029776431386ea3721-3d0c-48a9-a53b-72a91fcd3fdd_original.jpg
Hyundai,i20 1.0 TGDI Tecno LE,Gasolina,100,15.000,5.500,Alicante,2020,https://imgs.coches.com/coches/fotos/usados/2021/11/06/2/medium/0299674531c4927d32-20f7-4227-93c7-3fcd436cd0b5_original.jpg
Hyundai,Ioniq HEV 1.6 GDI Klass,Híbrido,141,21.450,20,Zaragoza,2020,https://imgs.coches.com/coches/fotos/usados/2021/02/06/f/medium/0254479744017629b5-a853-fb08-8656-2c84ff7ea26a.jpg
Hyundai,Ioniq PHEV 1.6 GDI Tecno,Híbrido,141,22.900,10,Guadalajara,2020,https://imgs.coches.com/coches/fotos/usados/2021/11/11/a/medium/c3daf149d849a1f17ac4f458d2888c68.jpg
Hyundai,Kona HEV 1.6 GDI DT,Híbrido,141,20.900,6.230,Madrid,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/26/d/medium/b0e787be37db20e315d5f5352474a5da.jpg
Hyundai,Tucson 1.6 CRDI 48V Tecno,Diesel,136,25.500,6.300,Alicante,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/25/5/medium/0312144942310a17f3-0162-4456-8798-dfd7aff24f8a_original.jpg
Hyundai,Tucson 1.6 TGDI HEV Maxx,Híbrido,230,25.800,0,Palencia,2022,https://imgs.coches.com/coches/fotos/usados/2022/01/18/e/medium/031087944116840743_01.jpg
Hyundai,Kona HEV 1.6 GDI DT,Híbrido,141,20.900,500,Lleida,2021,https://imgs.coches.com/coches/fotos/usados/2021/10/22/a/medium/ee8214a1e1edf8ac9cd4d92e42e989de.jpeg
Hyundai,Kona HEV 1.6 GDI DT,Híbrido,141,22.790,8.635,Jaen,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/25/7/medium/031209642260961.jpg
Hyundai,Kona HEV 1.6 GDI DT,Híbrido,141,21.800,0,Palencia,2022,https://imgs.coches.com/coches/fotos/usados/2022/01/18/5/medium/031087941316840737_01.jpg
Hyundai,Tucson 1.6 TGDI Klass 4x2,Gasolina,150,22.800,0,Palencia,2022,https://imgs.coches.com/coches/fotos/usados/2022/01/18/8/medium/031087942516840740_01.jpg
Hyundai,Tucson 1.6 CRDI 48V Maxx,Diesel,136,29.900,20,Lleida,2022,https://imgs.coches.com/coches/fotos/usados/2022/01/14/2/medium/7dda98d36c76dc74328caabd1f942078.jpeg
Hyundai,Tucson 1.6 TGDI Klass 4x2,Gasolina,150,22.900,25,Lugo,2022,https://imgs.coches.com/coches/fotos/usados/2022/01/12/a/medium/c6e2e344c319cbf6aff42a6544776cee.jpg
Hyundai,Tucson 1.6 TGDI HEV Maxx,Híbrido,230,30.800,25,Zaragoza,2022,https://imgs.coches.com/coches/fotos/usados/2022/01/11/a/medium/71675ab5cee790fdfb61c927fb670673.jpeg
Hyundai,Kona EV Style 2C 150kW,Eléctrico,204,28.999,31.640,Alicante,2019,https://imgs.coches.com/coches/fotos/usados/2021/07/23/0/medium/0282969986175207ff0d54df1d3c349427451e66a4_original.jpg
Hyundai,i10 1.0 MPI Tecno,Gasolina,66,11.500,6.000,Barcelona,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/20/3/medium/7f36fe94be8af51698070a787da0c0da.jpg
Hyundai,i10 1.0 MPI Klass,Gasolina,66,11.490,28.290,Madrid,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/19/3/medium/ac5a0e6eb03b61110b79917360bab84d.jpg
Hyundai,Tucson 1.6 CRDI 48V Tecno,Diesel,136,33.800,0,Palencia,2022,https://imgs.coches.com/coches/fotos/usados/2022/01/18/b/medium/031087951316840752_01.jpg
Hyundai,i30 2.0 TGDI N,Gasolina,280,33.600,680,Palencia,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/18/e/medium/031087938316840728_01.jpg
Hyundai,i30 2.0 TGDI N,Gasolina,280,35.900,0,Palencia,2022,https://imgs.coches.com/coches/fotos/usados/2022/01/18/0/medium/031087933716797169_01.jpg
Hyundai,Bayon 1.0 TGDI 48V Maxx,Gasolina,100,16.500,7.800,Palencia,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/18/7/medium/031087931116795005_01.jpg
Hyundai,Santa Fe 2.2CRDi 4x4 Tecno,Diesel,197,17.900,117.000,Sevilla,2014,https://imgs.coches.com/coches/fotos/usados/2022/01/13/a/medium/c5dcc4eb9485f4a06288d52e598d2649.jpg
Hyundai,i20 1.0 TGDI Essence LE,Gasolina,100,13.070,34.895,Valencia,2019,https://imgs.coches.com/coches/fotos/usados/2022/01/21/a/medium/0311555285209836-4891lcl_photo_01.jpg
Hyundai,i20 1.2i City S,Gasolina,85,7.760,41.000,Barcelona,2013,https://imgs.coches.com/coches/fotos/usados/2022/01/04/8/medium/0308757397c67409a8c411005eb560ac33ea5757a8_original.jpg
Hyundai,Tucson 2.0CRDI BD Tecno,Diesel,136,19.500,129.000,Sevilla,2016,https://imgs.coches.com/coches/fotos/usados/2021/12/28/3/medium/adfa84ef956411ee789c6b3a13aca54c.JPG
Hyundai,Santa Fe 2.0CRDi 4x2 Stadt,Diesel,150,17.990,127.000,Zaragoza,2014,https://imgs.coches.com/coches/fotos/usados/2021/12/24/b/medium/4fa80d948aac0d4f4d741053eefa68cc.JPG
Hyundai,Tucson 1.6 GDI BD Klass 4x2,Gasolina,131,16.990,65.690,Madrid,2018,https://imgs.coches.com/coches/fotos/usados/2021/12/21/9/medium/3c7d7818c833c725bc69ce9b5d2d0b5b.jpg
Hyundai,Kona 1.0 TGDI Klass 4x2,Gasolina,120,16.990,20.859,Asturias,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/21/6/medium/0311563835162455-1.jpg
Hyundai,i30 1.4 Comfort,Gasolina,109,7.870,51.000,Barcelona,2009,https://imgs.coches.com/coches/fotos/usados/2021/12/02/b/medium/0303541237b1f01ca1007e9da7aff0b09c14b611fe_original.jpg
Hyundai,i20 1.1CRDI Essence,Diesel,75,9.990,77.340,Asturias,2016,https://imgs.coches.com/coches/fotos/usados/2022/01/21/f/medium/0311563829162106-01.jpg
Hyundai,Tucson 1.6CRDI 48V SLE,Diesel,116,23.690,10.257,Asturias,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/21/e/medium/0311563827162058-1.jpg
Hyundai,i20 1.2 Essence,Gasolina,85,11.250,7.930,Valencia,2017,https://imgs.coches.com/coches/fotos/usados/2021/12/02/f/medium/0303477653017d76cd-4fd1-1d79-9c63-5a01a87b0110.jpg
Hyundai,i30 1.0 TGDI Klass 120,Gasolina,120,16.500,110,Alicante,2020,https://imgs.coches.com/coches/fotos/usados/2021/11/10/9/medium/03002117699cf4f39d-7f96-422b-8daa-72d2633554f5_original.jpg
Hyundai,Ioniq HEV 1.6 GDI Tecno,Híbrido,141,17.995,89.000,Madrid,2018,https://imgs.coches.com/coches/fotos/usados/2022/01/20/1/medium/0311234699213f1802168c71e0dcdc410aae9a8ba3_original.jpg
Infiniti,Nissan Juke 1.0 DIG-T Visia 4x2,Gasolina,114,20.500,3.000,Girona,2021,https://imgs.coches.com/coches/fotos/usados/2021/05/07/a/medium/027016721772116598_1067884.jpg
Infiniti,Nissan Qashqai 1.3 DIG-T mHEV 12V,Gasolina,158,31.900,9.800,Girona,2021,https://imgs.coches.com/coches/fotos/usados/2021/11/30/1/medium/2e5064a0d73cc2b608a5df5a42146a15.jpg
Infiniti,Nissan X-Trail 1.3 DIG-T Visia 4x2,Gasolina,160,25.900,10,Girona,2021,https://imgs.coches.com/coches/fotos/usados/2021/05/28/5/medium/027379041570438074_1060897.jpg
Infiniti,Nissan Micra IG-T Acenta CVT 92,Gasolina,92,15.500,5.000,Girona,2021,https://imgs.coches.com/coches/fotos/usados/2021/05/15/1/medium/027146243172116596_1077284.jpg
Infiniti,Nissan Micra IG-T N-Tec CVT 100,Gasolina,100,14.900,5.000,Girona,2020,https://imgs.coches.com/coches/fotos/usados/2021/05/07/4/medium/027016719971958500_1060702.jpg
Infiniti,Nissan Micra IG-T Acenta CVT 92,Gasolina,92,15.900,0,Girona,2021,https://imgs.coches.com/coches/fotos/usados/2021/05/07/4/medium/027016721572116597_1067770.jpg
Infiniti,Nissan Evalia e-NV200 5 40kWh,Eléctrico,109,27.350,3.000,Madrid,2020,https://imgs.coches.com/coches/fotos/usados/2021/09/24/5/medium/029260694359ab2afa57c4905de296ae86756146ef_original.jpg
Infiniti,Nissan Micra IG-TTekna CVT 92,Gasolina,92,15.900,0,Girona,2021,https://imgs.coches.com/coches/fotos/usados/2021/06/03/5/medium/027490159572944839_1091472.jpg
Infiniti,QX30 2.0t Premium Tech,Gasolina,211,25.364,54.383,Madrid,2019,https://imgs.coches.com/coches/fotos/usados/2022/01/18/e/medium/031097132516287961_01.jpg
Infiniti,FX 37 S Aut.,Gasolina,320,10.990,153.000,Barcelona,2008,https://imgs.coches.com/coches/fotos/usados/2021/11/11/d/medium/110150c404114f736adf38fade344b00.jpg
Infiniti,Q30 2.2d Premium 7DCT,Diesel,170,14.900,235.344,Madrid,2017,https://imgs.coches.com/coches/fotos/usados/2022/01/25/3/medium/6a87e415ea6b101f45e5d98266f34914.jpg
Infiniti,Q30 2.2d Premium 7DCT,Diesel,170,19.500,147.443,Madrid,2017,https://imgs.coches.com/coches/fotos/usados/2022/01/20/3/medium/4dc6b7dc79a1720a4b0a7666dff543ed.jpg
Infiniti,QX70 3.7 S Premium Aut.,Gasolina,320,31.682,117.626,Madrid,2017,https://imgs.coches.com/coches/fotos/usados/2022/01/18/f/medium/031097123316737679_01.jpg
Infiniti,Q50 2.2d GT Premium Aut.,Diesel,170,18.500,47.931,Madrid,2014,https://imgs.coches.com/coches/fotos/usados/2022/01/18/0/medium/031097110916582384_01.jpg
Infiniti,Q30 1.6t 122,Gasolina,122,16.589,78.372,Madrid,2016,https://imgs.coches.com/coches/fotos/usados/2022/01/18/7/medium/031096041316670530_01.jpg
Infiniti,Q30 1.6t Premium 122,Gasolina,122,17.773,58.167,Madrid,2018,https://imgs.coches.com/coches/fotos/usados/2022/01/18/5/medium/031095946515998185_01.jpg
Infiniti,M 30d S Premium Aut.,Diesel,238,20.990,44.000,Vizcaya,2011,https://imgs.coches.com/coches/fotos/usados/2022/01/14/7/medium/ee8a3df0ac8c3c8b61b7c05b59cb40bd.JPG
Infiniti,Q30 1.5d Premium,Diesel,109,14.990,95.332,Madrid,2017,https://imgs.coches.com/coches/fotos/usados/2022/01/27/3/medium/03124846306413e7a119d7564f00646397ef32037a-6111503-2aa5a356158c44156ad0ff86776ac2082352b14c-wc-265.jpg
Infiniti,QX70 3.7 GT Premium Aut.,Gasolina,320,24.990,115.902,Madrid,2015,https://imgs.coches.com/coches/fotos/usados/2021/11/29/a/medium/9630eb4130b4ccc66bbcc1640aef4f52.JPG
Infiniti,G 37 S Premium Coupé,Gasolina,320,23.900,69.502,Valencia,2014,https://imgs.coches.com/coches/fotos/usados/2021/08/18/1/medium/0286934943img_0_0_0.jpg
Infiniti,Q50 2.2d GT Premium Aut.,Diesel,170,17.495,67.013,Sevilla,2016,https://imgs.coches.com/coches/fotos/usados/2021/06/16/0/medium/02771531096b0b08a93a7f290737c791b085aca76f_original.jpg
Infiniti,Q30 1.5d Premium,Diesel,109,18.990,73.000,Las Palmas,2017,https://imgs.coches.com/coches/fotos/usados/2022/01/13/1/medium/92deab88817a8b4aba3880971c90f340.jpg
Infiniti,Q30 1.5d Premium,Diesel,109,15.300,94.066,Castellon,2017,https://imgs.coches.com/coches/fotos/usados/2022/01/10/0/medium/4e9e35a2fa4eb2b47a4f4605d89b9174.jpg
Infiniti,G 37 T Premium Cabrio,Gasolina,320,21.999,142.000,Alicante,2013,https://imgs.coches.com/coches/fotos/usados/2022/01/04/6/medium/030867867500-1626276281_899.jpg
Infiniti,Q50 2.2d GT Premium Aut.,Diesel,170,19.500,104.000,Cordoba,2017,https://imgs.coches.com/coches/fotos/usados/2021/12/31/f/medium/030800035501_1640853382_899.jpg
Infiniti,Q70 2.2d GT Sport Aut.,Diesel,170,17.320,63.000,Almeria,2015,https://imgs.coches.com/coches/fotos/usados/2022/01/21/9/medium/0311549077651382-E3903JDW_280129_211118.JPG
